         TOF        Yobs        Ycal     YcalBad
     7701.46    19100.00    19063.00    19060.00
     7705.32    18930.00    19061.00    19060.00
     7709.18    18985.00    19058.00    19060.00
     7713.02    18459.00    19055.00    19060.00
     7716.87    18550.00    19053.00    19050.00
     7720.73    17939.00    19050.00    19050.00
     7724.58    17566.00    19047.00    19050.00
     7728.46    18443.00    19044.00    19040.00
     7732.33    18082.00    19042.00    19040.00
     7736.19    18315.00    19039.00    19040.00
     7740.05    18412.00    19036.00    19040.00
     7743.92    18212.00    19034.00    19030.00
     7747.80    18417.00    19031.00    19030.00
     7751.67    18920.00    19028.00    19030.00
     7755.55    17986.00    19026.00    19030.00
     7759.42    18282.00    19023.00    19020.00
     7763.31    18174.00    19021.00    19020.00
     7767.19    18650.00    19018.00    19020.00
     7771.06    18396.00    19015.00    19020.00
     7774.95    18047.00    19013.00    19010.00
     7778.84    18178.00    19010.00    19010.00
     7782.73    18399.00    19007.00    19010.00
     7786.62    19206.00    19005.00    19000.00
     7790.51    18552.00    19002.00    19000.00
     7794.41    18194.00    19000.00    19000.00
     7798.32    18519.00    18997.00    19000.00
     7802.21    18171.00    18994.00    18990.00
     7806.11    18557.00    18992.00    18990.00
     7810.02    17981.00    18989.00    18990.00
     7813.92    17989.00    18987.00    18990.00
     7817.83    19233.00    18984.00    18980.00
     7821.73    19249.00    18981.00    18980.00
     7825.65    19326.00    18979.00    18980.00
     7829.56    19309.00    18976.00    18980.00
     7833.46    19803.00    18974.00    18970.00
     7837.38    18504.00    18971.00    18970.00
     7841.30    18907.00    18968.00    18970.00
     7845.22    17966.00    18966.00    18970.00
     7849.14    18387.00    18963.00    18960.00
     7853.08    17900.00    18961.00    18960.00
     7857.02    18315.00    18958.00    18960.00
     7860.94    18430.00    18956.00    18960.00
     7864.85    18311.00    18953.00    18950.00
     7868.79    19034.00    18951.00    18950.00
     7872.73    19214.00    18948.00    18950.00
     7876.66    18928.00    18946.00    18950.00
     7880.61    18449.00    18943.00    18940.00
     7884.55    18475.00    18941.00    18940.00
     7888.48    19320.00    18938.00    18940.00
     7892.44    18113.00    18936.00    19040.00
     7896.39    18858.00    18933.00    19040.00
     7900.34    18676.00    18931.00    19050.00
     7904.29    18392.00    18928.00    19050.00
     7908.24    17315.00    18926.00    19060.00
     7912.19    18322.00    18923.00    19070.00
     7916.14    18879.00    18921.00    19080.00
     7920.09    18515.00    18918.00    19100.00
     7924.06    17534.00    18916.00    19120.00
     7928.02    18868.00    18913.00    19140.00
     7931.99    18175.00    18911.00    19170.00
     7935.96    18374.00    18908.00    19200.00
     7939.92    18039.00    18906.00    19260.00
     7943.89    19335.00    19009.00    19360.00
     7947.85    19466.00    19014.00    19540.00
     7951.84    18310.00    19020.00    19910.00
     7955.82    18695.00    19028.00    20710.00
     7959.80    18529.00    19036.00    22410.00
     7963.78    18230.00    19046.00    25870.00
     7967.76    19167.00    19058.00    32510.00
     7971.74    18869.00    19077.00    44060.00
     7975.72    18558.00    19094.00    62320.00
